# m=1, k=39.4784, p=3
# x0=0, v0=1
# t_start=0, t_end=15, h=0.001
#   t          x(t)               v(t)               KE(t)              PE(x(t)) 
1.3300  -3.206213464972569e-01  -3.640705263628873e-01  6.627367408307490e-02  4.337263255667969e-01
1.3400  -3.240576393838173e-01  -3.230422742127102e-01  5.217815546425993e-02  4.478218441855719e-01
1.3500  -3.270794376816678e-01  -2.811879082777027e-01  3.953331988079489e-02  4.604666797689980e-01
1.3600  -3.296789777565551e-01  -2.386077607131588e-01  2.846683173627403e-02  4.715331679134831e-01
1.3700  -3.318495232168716e-01  -1.954068441052118e-01  1.909191736157927e-02  4.809080822881460e-01
1.3800  -3.335854085278896e-01  -1.516942060138991e-01  1.150556606909363e-02  4.884944335806047e-01
1.3900  -3.348820759586146e-01  -1.075822420212592e-01  5.786969399160393e-03  4.942130302505168e-01
1.4000  -3.357361054793869e-01  -6.318597400266937e-02  1.996233655333005e-03  4.980037659943296e-01
1.4100  -3.361452372984426e-01  -1.862230090184794e-02  1.733950454394833e-04  4.998266046042155e-01
1.4200  -3.361083868007919e-01  2.599077026151429e-02  3.377600693934078e-04  4.996622395802612e-01
1.4300  -3.356256517317923e-01  7.053490509792230e-02  2.487586418586453e-03  4.975124132310747e-01
1.4400  -3.346983115494088e-01  1.148922260212832e-01  6.600111800062817e-03  4.933998878496123e-01
1.4500  -3.333288189520179e-01  1.589460915850905e-01  1.263193001508799e-02  4.873680696346073e-01
1.4600  -3.315207836713729e-01  2.025818627574501e-01  2.051970555913918e-02  4.794802940905820e-01
1.4700  -3.292789487016186e-01  2.456876481261059e-01  3.018121022086862e-02  4.698187894288837e-01
1.4800  -3.266091592137124e-01  2.881550203702944e-01  4.151665788230239e-02  4.584833417674848e-01
1.4900  -3.235183244789993e-01  3.298796968043555e-01  5.441030718186676e-02  4.455896924679574e-01
1.5000  -3.200143731948223e-01  3.707621773778619e-01  6.873229608698656e-02  4.312677035628758e-01
