# Spherical Bessel functions via up and down recursion
#     logx                 Up Recursion             Down Recursion           Compare Up/Down         Compare Down/GSL         Compare Up/GSL
1.1398790864          6.7254937367e-02          6.7254937367e-02                     -inf         1.8796519032e-01         1.8796519032e-01
1.1430148003          6.2508682241e-02          6.2508682241e-02        -1.5477528842e+01         3.0170993820e-01         3.0170993820e-01
1.1461280357          5.7563111382e-02          5.7563111382e-02                     -inf         3.9705002498e-01         3.9705002498e-01
1.1492191127          5.2437070164e-02          5.2437070164e-02                     -inf         4.7881224789e-01         4.7881224789e-01
1.1522883444          4.7150792370e-02          4.7150792370e-02        -1.5656107489e+01         5.5043431328e-01         5.5043431328e-01
1.1553360375          4.1725810085e-02          4.1725810085e-02        -1.5603023271e+01         6.1446178958e-01         6.1446178958e-01
1.1583624921          3.6184852408e-02          3.6184852408e-02        -1.6018266554e+01         6.7285577600e-01         6.7285577600e-01
1.1613680022          3.0551733420e-02          3.0551733420e-02        -1.5546835596e+01         7.2719376602e-01         7.2719376602e-01
1.1643528558          2.4851229927e-02          2.4851229927e-02        -1.5457147627e+01         7.7880907285e-01         7.7880907285e-01
1.1673173347          1.9108949647e-02          1.9108949647e-02        -1.5439946569e+01         8.2889567516e-01         8.2889567516e-01
1.1702617154          1.3351190514e-02          1.3351190514e-02        -1.5187319733e+01         8.7859615978e-01         8.7859615978e-01
1.1731862684          7.6047919570e-03          7.6047919570e-03        -1.5039797090e+01         9.2908655553e-01         9.2908655553e-01
1.1760912591          1.8969790011e-03          1.8969790011e-03        -1.4323874158e+01         9.8167179057e-01         9.8167179057e-01
1.1789769473         -3.7447998100e-03         -3.7447998100e-03        -1.4822314989e+01         1.0000000000e+00         1.0000000000e+00
1.1818435879         -9.2930396478e-03         -9.2930396478e-03        -1.5728927534e+01         1.0000000000e+00         1.0000000000e+00
1.1846914308         -1.4720350679e-02         -1.4720350679e-02        -1.5053626637e+01         1.0000000000e+00         1.0000000000e+00
1.1875207208         -1.9999632231e-02         -1.9999632231e-02        -1.5283640503e+01         1.0000000000e+00         1.0000000000e+00
1.1903316982         -2.5104248639e-02         -2.5104248639e-02        -1.5683395717e+01         1.0000000000e+00         1.0000000000e+00
1.1931245984         -3.0008205512e-02         -3.0008205512e-02        -1.4522006426e+01         1.0000000000e+00         1.0000000000e+00
1.1958996524         -3.4686325150e-02         -3.4686325150e-02        -1.3716596811e+01         1.0000000000e+00         1.0000000000e+00
1.1986570870         -3.9114419801e-02         -3.9114419801e-02        -1.4875985382e+01         1.0000000000e+00         1.0000000000e+00
1.2013971243         -4.3269461448e-02         -4.3269461448e-02        -1.5493861247e+01         1.0000000000e+00         1.0000000000e+00
1.2041199827         -4.7129746811e-02         -4.7129746811e-02        -1.5133034855e+01         1.0000000000e+00         1.0000000000e+00
1.2068258760         -5.0675056246e-02         -5.0675056246e-02        -1.5210291478e+01         1.0000000000e+00         1.0000000000e+00
1.2095150145         -5.3886805283e-02         -5.3886805283e-02        -1.5288132198e+01         1.0000000000e+00         1.0000000000e+00
1.2121876044         -5.6748187518e-02         -5.6748187518e-02        -1.5912661748e+01         1.0000000000e+00         1.0000000000e+00
1.2148438480         -5.9244307666e-02         -5.9244307666e-02        -1.5533416373e+01         1.0000000000e+00         1.0000000000e+00
1.2174839442         -6.1362303614e-02         -6.1362303614e-02                     -inf         8.2825822154e-01         8.2825822154e-01
1.2201080880         -6.3091456363e-02         -6.3091456363e-02        -1.5958680305e+01         4.2840115796e-01         4.2840115796e-01
1.2227164711         -6.4423286849e-02         -6.4423286849e-02        -1.5967752631e+01         1.8440740174e-01         1.8440740174e-01
1.2253092817         -6.5351638704e-02         -6.5351638704e-02                     -inf         1.8931387783e-02         1.8931387783e-02
1.2278867046         -6.5872746085e-02         -6.5872746085e-02                     -inf         1.0146163694e-01         1.0146163694e-01
1.2304489214         -6.5985285845e-02         -6.5985285845e-02        -1.5978156855e+01         1.9359899407e-01         1.9359899407e-01
1.2329961104         -6.5690413392e-02         -6.5690413392e-02                     -inf         2.6688595473e-01         2.6688595473e-01
1.2355284469         -6.4991781711e-02         -6.4991781711e-02                     -inf         3.2700340474e-01         3.2700340474e-01
1.2380461031         -6.3895543147e-02         -6.3895543147e-02        -1.5964180319e+01         3.7759699867e-01         3.7759699867e-01
1.2405492483         -6.2410333658e-02         -6.2410333658e-02                     -inf         4.2112559573e-01         4.2112559573e-01
1.2430380487         -6.0547239412e-02         -6.0547239412e-02        -1.6241834095e+01         4.5932049851e-01         4.5932049851e-01
1.2455126678         -5.8319745692e-02         -5.8319745692e-02        -1.5924525374e+01         4.9344987760e-01         4.9344987760e-01
1.2479732664         -5.5743668249e-02         -5.5743668249e-02                     -inf         5.2447953487e-01         5.2447953487e-01
1.2504200023         -5.2837067359e-02         -5.2837067359e-02        -1.5881648458e+01         5.5317592106e-01         5.5317592106e-01
1.2528530310         -4.9620144976e-02         -4.9620144976e-02        -1.5854367782e+01         5.8017609320e-01         5.8017609320e-01
1.2552725051         -4.6115125540e-02         -4.6115125540e-02        -1.6123583144e+01         6.0603884185e-01         6.0603884185e-01
