numerical = 6.085332463381135648e-01   exact = 6.085332463381104562e-01
numerical = 6.689751815396022261e-01   exact = 6.689751815395981183e-01
numerical = 7.252844217692017148e-01   exact = 7.252844217691953865e-01
numerical = 7.771131082118254430e-01   exact = 7.771131082118234445e-01
numerical = 8.241410613484803083e-01   exact = 8.241410613484682068e-01
numerical = 8.660777589133724641e-01   exact = 8.660777589133834553e-01
numerical = 9.026641306391679498e-01   exact = 9.026641306391780528e-01
numerical = 9.336741587024020017e-01   exact = 9.336741587023963396e-01
numerical = 9.589162739827059578e-01   exact = 9.589162739827065129e-01
numerical = 9.782345395099703023e-01   exact = 9.782345395099847352e-01
numerical = 9.915096137884414906e-01   exact = 9.915096137884376049e-01
numerical = 9.986594880466851398e-01   exact = 9.986594880466875823e-01
numerical = 9.996399928592984985e-01   exact = 9.996399928593032724e-01
numerical = 9.944450710100808388e-01   exact = 9.944450710100809498e-01
numerical = 9.831068149114150501e-01   exact = 9.831068149114128296e-01
numerical = 9.656952683485817701e-01   exact = 9.656952683485691136e-01
numerical = 9.423179937736891887e-01   exact = 9.423179937736737566e-01
numerical = 9.131194078224492694e-01   exact = 9.131194078224355026e-01
numerical = 8.782798891586381940e-01   exact = 8.782798891586309775e-01
numerical = 8.380146641577388422e-01   exact = 8.380146641577354005e-01
numerical = 7.925724773135641721e-01   exact = 7.925724773135561785e-01
numerical = 7.422340545816531465e-01   exact = 7.422340545816580315e-01
numerical = 6.873103691524705683e-01   exact = 6.873103691524571346e-01
numerical = 6.281407203675111184e-01   exact = 6.281407203675071216e-01
numerical = 5.650906376466797720e-01   exact = 5.650906376466905412e-01
numerical = 4.985496223751493261e-01   exact = 4.985496223751437750e-01
numerical = 4.289287416998009417e-01   exact = 4.289287416997974445e-01
numerical = 3.566580891001182585e-01   exact = 3.566580891001189246e-01
numerical = 2.821841274208556349e-01   exact = 2.821841274208497508e-01
numerical = 2.059669307805207239e-01   exact = 2.059669307805142291e-01
numerical = 1.284773423942932591e-01   exact = 1.284773423942758008e-01
numerical = 5.019406586898780137e-02   exact = 5.019406586897973838e-02
numerical = -2.839929206049281868e-02   exact = -2.839929206048349628e-02
numerical = -1.068172090845825317e-01   exact = -1.068172090845897898e-01
numerical = -1.845752467064805391e-01   exact = -1.845752467064752100e-01
numerical = -2.611930429336947745e-01   exact = -2.611930429337003812e-01
numerical = -3.361972797867918694e-01   exact = -3.361972797867991969e-01
numerical = -4.091246072924819011e-01   exact = -4.091246072924730193e-01
numerical = -4.795245058977996577e-01   exact = -4.795245058978102604e-01
numerical = -5.469620696226986656e-01   exact = -5.469620696227022183e-01
numerical = -6.110206927570913660e-01   exact = -6.110206927571005808e-01
numerical = -6.713046435055075589e-01   exact = -6.713046435054936811e-01
numerical = -7.274415086797537677e-01   exact = -7.274415086797503260e-01
numerical = -7.790844943376610265e-01   exact = -7.790844943376631360e-01
numerical = -8.259145681547899187e-01   exact = -8.259145681547862550e-01
numerical = -8.676424302946935674e-01   exact = -8.676424302946927902e-01
numerical = -9.040103006022787158e-01   exact = -9.040103006022799370e-01
numerical = -9.347935110795242419e-01   exact = -9.347935110795329017e-01
numerical = -9.598018938059221794e-01   exact = -9.598018938059272864e-01
numerical = -9.788809557293907115e-01   exact = -9.788809557294020358e-01
numerical = -9.919128330704612972e-01   exact = -9.919128330704678476e-01
numerical = -9.988170194434647930e-01   exact = -9.988170194434672355e-01
numerical = -9.995508631968861302e-01   exact = -9.995508631968943458e-01
numerical = -9.941098309003919553e-01   exact = -9.941098309004017253e-01
numerical = -9.825275353507508802e-01   exact = -9.825275353507466614e-01
numerical = -9.648755279236649329e-01   exact = -9.648755279236792548e-01
numerical = -9.412628565545433368e-01   exact = -9.412628565545356762e-01
numerical = -9.118353920781800959e-01   exact = -9.118353920781862021e-01
numerical = -8.767749270899711789e-01   exact = -8.767749270899800607e-01
numerical = -8.362980528945876957e-01   exact = -8.362980528946053482e-01
numerical = -7.906548214806571329e-01   exact = -7.906548214806463637e-01
numerical = -7.401272007867859548e-01   exact = -7.401272007867882863e-01
numerical = -6.850273328023696040e-01   exact = -6.850273328023690489e-01
numerical = -6.256956052632247633e-01   exact = -6.256956052632137721e-01
numerical = -5.624985488551331736e-01   exact = -5.624985488551300650e-01
numerical = -4.958265729153611967e-01   exact = -4.958265729153475410e-01
numerical = -4.260915536200641784e-01   exact = -4.260915536200647336e-01
numerical = -3.537242895572532131e-01   exact = -3.537242895572604295e-01
numerical = -2.791718404035422596e-01   exact = -2.791718404035380408e-01
numerical = -2.028947651456501633e-01   exact = -2.028947651456508294e-01
numerical = -1.253642769079216235e-01   exact = -1.253642769079129360e-01
numerical = -4.705933196217705616e-02   exact = -4.705933196216028486e-02
numerical = 3.153632909674558560e-02   exact = 3.153632909674228268e-02
numerical = 1.099371697313834551e-01   exact = 1.099371697313840102e-01
numerical = 1.876588569368516646e-01   exact = 1.876588569368624615e-01
numerical = 2.642212532809031234e-01   exact = 2.642212532808911885e-01
numerical = 3.391513830251390305e-01   exact = 3.391513830251500217e-01
numerical = 4.119863540041691086e-01   exact = 4.119863540041632244e-01
numerical = 4.822762172113878587e-01   exact = 4.822762172113770895e-01
numerical = 5.495867464269343916e-01   exact = 5.495867464269327263e-01
numerical = 6.135021207156029499e-01   exact = 6.135021207155996192e-01
numerical = 6.736274932232017010e-01   exact = 6.736274932232059198e-01
numerical = 7.295914304025663544e-01   exact = 7.295914304025752362e-01
numerical = 7.810482066002482071e-01   exact = 7.810482066002459867e-01
numerical = 8.276799398287874032e-01   exact = 8.276799398287785214e-01
numerical = 8.691985555306067646e-01   exact = 8.691985555306067646e-01
numerical = 9.053475662020210590e-01   exact = 9.053475662020193937e-01
numerical = 9.359036558833910835e-01   exact = 9.359036558833853103e-01
numerical = 9.606780597271197264e-01   exact = 9.606780597271155075e-01
numerical = 9.795177301209521126e-01   exact = 9.795177301209415655e-01
numerical = 9.923062821626223995e-01   exact = 9.923062821626187358e-01
numerical = 9.989647126451914882e-01   exact = 9.989647126451868253e-01
numerical = 9.994518881111780217e-01   exact = 9.994518881111765785e-01
numerical = 9.937647989607539811e-01   exact = 9.937647989607505394e-01
numerical = 9.819385780439613409e-01   exact = 9.819385780439511269e-01
numerical = 9.640462836222296605e-01   exact = 9.640462836222348786e-01
numerical = 9.401984480400441546e-01   exact = 9.401984480400474853e-01
